B02001_001E,B02001_002E,state,county,tract,block group
1076,994,36,059,415102,5
952,518,36,059,303102,4
1122,1042,36,057,072100,3
1374,1222,36,045,061800,2
963,502,36,055,002300,4
1162,1078,36,049,950700,2
1034,851,36,119,001403,4
2313,1167,36,061,025500,1
1615,1468,36,059,412100,4
1410,900,36,059,410600,6
872,567,36,119,006600,4
629,573,36,055,012600,1
808,728,36,085,014700,1
2367,2367,36,085,020801,1
1578,1121,36,059,303700,2
474,404,36,055,013902,2
886,878,36,093,033102,3
1693,1654,36,007,012103,3
1919,63,36,081,058200,2
2508,342,36,047,111600,1
1007,1007,36,103,124200,1
919,914,36,103,190708,1
1588,1442,36,065,021701,1
1283,1283,36,103,158900,3
1212,1154,36,029,007302,6
1535,1124,36,029,006301,4
1060,1030,36,117,021600,3
968,858,36,071,012100,5
1201,479,36,047,028300,1
1856,1842,36,047,023400,1
677,563,36,111,952500,1
976,877,36,111,950500,2
1399,1353,36,051,030800,3
751,103,36,001,000700,1
896,896,36,047,035400,3
867,821,36,023,971200,3
1138,160,36,005,021301,2
539,82,36,047,114400,4
713,562,36,061,005501,3
1373,107,36,047,091000,3
1054,916,36,027,130004,2
3172,2408,36,027,050104,2
1101,1048,36,073,040801,3
970,538,36,047,030500,1
765,652,36,029,016700,3
1050,1041,36,103,110102,4
2365,1441,36,055,013604,2
755,585,36,005,026602,5
0,0,36,061,022302,0
1064,1045,36,121,970400,1
1465,1135,36,077,590800,2
805,508,36,061,004400,6
1182,957,36,061,010602,3
1458,239,36,047,007100,4
1626,1494,36,061,014401,2
1473,1252,36,061,008100,5
1106,972,36,069,050101,2
1227,927,36,059,517302,3
1195,1068,36,061,007700,5
1450,327,36,061,023600,2
1401,1368,36,089,492600,4
1227,1171,36,089,492400,2
1117,506,36,083,040700,4
1738,1525,36,103,158011,1
1266,1243,36,049,950100,1
1312,776,36,087,012401,1
1007,1002,36,029,014207,1
1093,1021,36,061,006600,6
2296,217,36,061,003800,3
1025,903,36,087,013100,3
892,836,36,119,011300,3
2118,1895,36,059,416402,2
1570,1471,36,065,026200,1
1287,1174,36,111,953400,4
1099,190,36,081,079701,1
2029,2029,36,055,015200,1
0,0,36,081,093900,0
856,856,36,017,970500,5
1566,1410,36,059,415802,2
937,906,36,017,970900,1
1045,762,36,119,014809,1
1730,174,36,119,004000,3
2165,1198,36,061,019500,3
1157,1094,36,103,200902,1
1865,279,36,081,026901,1
1273,1152,36,093,032403,2
902,846,36,113,076000,3
589,564,36,047,037402,4
982,910,36,091,060601,1
721,713,36,021,001400,3
2553,1920,36,047,000501,1
516,481,36,119,012600,1
1871,403,36,061,022000,5
1438,1267,36,081,093401,1
1782,1365,36,085,027702,3
1426,1363,36,103,190604,2
2106,1866,36,091,062508,3
223,95,36,007,000700,2
620,283,36,081,040900,4
0,0,36,081,100801,0
3597,1966,36,081,101001,1
1220,695,36,061,015200,2
859,310,36,047,020300,2
563,141,36,047,027700,3
1435,1203,36,085,014607,2
568,562,36,043,010702,1
1396,276,36,047,051002,3
946,802,36,029,008101,5
751,705,36,063,024401,3
1460,383,36,061,030900,2
1300,1038,36,059,517701,1
1429,1112,36,119,000701,2
1116,1005,36,059,301400,1
374,21,36,059,303201,3
2884,2558,36,055,011301,2
781,304,36,055,008000,1
457,370,36,059,411600,2
1048,855,36,061,007300,1
888,804,36,011,041400,2
857,657,36,059,519000,4
913,878,36,119,002105,2
1633,957,36,119,002204,2
1917,1056,36,119,009100,2
1370,1355,36,059,411200,2
782,756,36,059,521700,3
1280,809,36,119,002405,2
1719,1483,36,059,407801,2
1412,1347,36,119,014606,3
1665,710,36,059,304002,1
909,561,36,119,010701,4
2211,1045,36,027,060100,1
1292,725,36,059,302400,2
1788,1559,36,119,008200,3
1014,927,36,059,520100,1
1975,992,36,119,003800,1
863,775,36,119,007500,3
1041,909,36,059,300400,4
1187,1175,36,027,100000,1
762,662,36,055,010100,5
503,498,36,059,415000,4
1578,1488,36,059,520001,2
1303,1203,36,059,301102,3
1255,955,36,059,407700,2
1245,877,36,059,301600,1
1648,847,36,119,010903,4
1008,1008,36,059,415802,1
1718,1524,36,085,016901,2
585,502,36,055,012900,3
921,620,36,055,013800,3
1466,1264,36,061,003900,2
1201,1002,36,087,010102,3
1053,768,36,087,013100,5
957,956,36,059,518000,3
1295,1229,36,059,521802,1
1107,847,36,059,412000,1
1844,53,36,059,407201,2
1385,772,36,059,519500,3
1014,999,36,059,416600,4
1403,1329,36,055,012500,2
744,49,36,055,006400,2
1637,1572,36,063,022601,1
1661,1348,36,091,062503,1
3084,2140,36,119,013000,2
1431,1053,36,119,010400,2
656,374,36,119,001600,2
822,665,36,055,008500,1
1232,1025,36,055,003700,2
1398,621,36,061,019300,6
675,645,36,061,014000,3
481,120,36,119,011400,3
1509,1253,36,119,005200,3
759,724,36,059,411800,6
956,179,36,059,414202,3
631,528,36,045,062200,4
772,146,36,055,005900,2
1198,969,36,059,414900,1
1393,1382,36,055,015400,1
1702,1076,36,085,029104,1
869,809,36,061,009300,4
1475,1285,36,063,023200,1
532,430,36,063,022711,1
934,240,36,061,024100,5
819,778,36,061,006700,3
741,117,36,061,018200,2
962,942,36,029,013800,4
1494,190,36,081,085500,4
0,0,36,081,045500,6
1647,841,36,103,146106,2
846,262,36,005,009000,4
967,859,36,017,970601,2
2721,542,36,087,012402,1
2195,1570,36,061,013800,2
991,678,36,061,014601,1
1555,913,36,087,011200,2
1091,1054,36,055,015304,1
703,471,36,055,006000,2
2293,2167,36,055,013507,1
967,937,36,029,015504,2
5557,3897,36,067,004302,2
656,580,36,085,006700,3
636,400,36,005,031900,1
1923,1641,36,103,158607,1
2342,2218,36,071,013300,2
1550,1153,36,103,145803,1
1672,1293,36,029,010003,1
977,538,36,047,052600,3
1092,660,36,047,018100,3
1401,1354,36,029,010002,2
2246,2120,36,059,517902,2
1644,689,36,047,043900,2
3127,174,36,047,122000,2
0,0,36,081,094203,0
2109,1905,36,117,020402,2
1025,938,36,061,016100,4
0,0,36,005,046201,8
1847,1843,36,067,010400,1
1207,1095,36,079,011300,1
631,433,36,081,109700,1
1803,445,36,081,046900,2
488,468,36,081,063302,1
902,85,36,047,081000,2
1234,657,36,061,017000,2
790,0,36,047,088000,3
896,842,36,099,951000,2
970,900,36,099,950300,3
1128,1094,36,013,035500,1
620,390,36,047,019100,2
1231,1202,36,013,036700,3
1499,755,36,047,118201,2
1155,150,36,047,097400,2
1956,1025,36,061,008400,2
769,583,36,081,101700,2
2104,163,36,081,047100,2
1403,134,36,081,045400,1
