state,county,NAME
45,001,"Abbeville County, South Carolina"
22,001,"Acadia Parish, Louisiana"
51,001,"Accomack County, Virginia"
16,001,"Ada County, Idaho"
19,001,"Adair County, Iowa"
21,001,"Adair County, Kentucky"
29,001,"Adair County, Missouri"
40,001,"Adair County, Oklahoma"
08,001,"Adams County, Colorado"
16,003,"Adams County, Idaho"
17,001,"Adams County, Illinois"
18,001,"Adams County, Indiana"
19,003,"Adams County, Iowa"
28,001,"Adams County, Mississippi"
31,001,"Adams County, Nebraska"
38,001,"Adams County, North Dakota"
39,001,"Adams County, Ohio"
42,001,"Adams County, Pennsylvania"
53,001,"Adams County, Washington"
55,001,"Adams County, Wisconsin"
50,001,"Addison County, Vermont"
72,001,"Adjuntas Municipio, Puerto Rico"
72,003,"Aguada Municipio, Puerto Rico"
72,005,"Aguadilla Municipio, Puerto Rico"
72,007,"Aguas Buenas Municipio, Puerto Rico"
72,009,"Aibonito Municipio, Puerto Rico"
45,003,"Aiken County, South Carolina"
27,001,"Aitkin County, Minnesota"
12,001,"Alachua County, Florida"
37,001,"Alamance County, North Carolina"
06,001,"Alameda County, California"
08,003,"Alamosa County, Colorado"
36,001,"Albany County, New York"
56,001,"Albany County, Wyoming"
51,003,"Albemarle County, Virginia"
26,001,"Alcona County, Michigan"
28,003,"Alcorn County, Mississippi"
02,013,"Aleutians East Borough, Alaska"
02,016,"Aleutians West Census Area, Alaska"
17,003,"Alexander County, Illinois"
37,003,"Alexander County, North Carolina"
51,510,"Alexandria city, Virginia"
40,003,"Alfalfa County, Oklahoma"
26,003,"Alger County, Michigan"
19,005,"Allamakee County, Iowa"
26,005,"Allegan County, Michigan"
24,001,"Allegany County, Maryland"
36,003,"Allegany County, New York"
37,005,"Alleghany County, North Carolina"
51,005,"Alleghany County, Virginia"
42,003,"Allegheny County, Pennsylvania"
18,003,"Allen County, Indiana"
20,001,"Allen County, Kansas"
21,003,"Allen County, Kentucky"
39,003,"Allen County, Ohio"
22,003,"Allen Parish, Louisiana"
45,005,"Allendale County, South Carolina"
26,007,"Alpena County, Michigan"
06,003,"Alpine County, California"
06,005,"Amador County, California"
51,007,"Amelia County, Virginia"
51,009,"Amherst County, Virginia"
28,005,"Amite County, Mississippi"
02,020,"Anchorage Municipality, Alaska"
20,003,"Anderson County, Kansas"
21,005,"Anderson County, Kentucky"
45,007,"Anderson County, South Carolina"
47,001,"Anderson County, Tennessee"
48,001,"Anderson County, Texas"
29,003,"Andrew County, Missouri"
48,003,"Andrews County, Texas"
23,001,"Androscoggin County, Maine"
48,005,"Angelina County, Texas"
24,003,"Anne Arundel County, Maryland"
27,003,"Anoka County, Minnesota"
37,007,"Anson County, North Carolina"
31,003,"Antelope County, Nebraska"
26,009,"Antrim County, Michigan"
04,001,"Apache County, Arizona"
19,007,"Appanoose County, Iowa"
13,001,"Appling County, Georgia"
51,011,"Appomattox County, Virginia"
48,007,"Aransas County, Texas"
08,005,"Arapahoe County, Colorado"
48,009,"Archer County, Texas"
08,007,"Archuleta County, Colorado"
72,013,"Arecibo Municipio, Puerto Rico"
26,011,"Arenac County, Michigan"
05,001,"Arkansas County, Arkansas"
51,013,"Arlington County, Virginia"
42,005,"Armstrong County, Pennsylvania"
48,011,"Armstrong County, Texas"
23,003,"Aroostook County, Maine"
72,015,"Arroyo Municipio, Puerto Rico"
31,005,"Arthur County, Nebraska"
22,005,"Ascension Parish, Louisiana"
37,009,"Ashe County, North Carolina"
39,005,"Ashland County, Ohio"
55,003,"Ashland County, Wisconsin"
05,003,"Ashley County, Arkansas"
39,007,"Ashtabula County, Ohio"
53,003,"Asotin County, Washington"
22,007,"Assumption Parish, Louisiana"
48,013,"Atascosa County, Texas"
20,005,"Atchison County, Kansas"
